ChangeSpeed,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-20.08,61.17,-15.01,-2.62,21.53,-20.43,0.4652591,2.259514,-25.00333
-20.08,61.17,-15.01,-2.62,21.53,-20.43,0.4652591,2.259514,-25.00333
-22.36,58.15,-16.37,-0.78,19.76,-20.11,0.2997823,2.388428,-25.02682
-22.36,58.15,-16.37,-0.78,19.76,-20.11,0.2997823,2.388428,-25.02682
-22.36,58.15,-16.37,-0.78,19.76,-20.11,0.2997823,2.388428,-25.02682
-27.02,54.2,-28.68,2.69,16.31,-19.57,0.4291003,2.256752,-25.59029
-27.02,54.2,-28.68,2.69,16.31,-19.57,0.4291003,2.256752,-25.59029
-27.02,54.2,-28.68,2.69,16.31,-19.57,0.6821973,1.505074,-26.49168
-27.02,54.2,-28.68,2.69,16.31,-19.57,0.6821973,1.505074,-26.49168
-27.54,49.33,-29.5,6.02,13.08,-19.37,1.506552,1.687241,-26.94362
-27.54,49.33,-29.5,6.02,13.08,-19.37,1.506552,1.687241,-26.94362
-27.54,49.33,-29.5,6.02,13.08,-19.37,1.506552,1.687241,-26.94362
-26.73,30.03,-25.37,9.42,10.31,-18.86,2.319141,2.349724,-27.16965
-26.73,30.03,-25.37,9.42,10.31,-18.86,2.319141,2.349724,-27.16965
-26.73,30.03,-25.37,9.42,10.31,-18.86,2.131313,2.424561,-27.75723
-26.73,30.03,-25.37,9.42,10.31,-18.86,2.131313,2.424561,-27.75723
-26.39,19.14,-17.61,11.82,8.25,-18.73,2.229556,1.911819,-28.42915
-26.39,19.14,-17.61,11.82,8.25,-18.73,2.229556,1.911819,-28.42915
-28.11,16.79,-12.52,12.58,8.65,-17.66,2.64361,1.533745,-28.81387
-28.11,16.79,-12.52,12.58,8.65,-17.66,2.64361,1.533745,-28.81387
-28.11,16.79,-12.52,12.58,8.65,-17.66,2.64361,1.533745,-28.81387
-28.11,16.79,-12.52,12.58,8.65,-17.66,2.632929,1.696457,-28.78513
-28.11,16.79,-12.52,12.58,8.65,-17.66,2.632929,1.696457,-28.78513
