匀速步行,,,,,,,,
L_Thign,L_calf,L_Foot,R_Thign,R_calf,R_Foot,Pelvis_x,Pelvis_y,Pelvis_z
-23.69,63.36,-8.64,-6.64,18.4,-11.3,1.765354,-0.1787186,0.5309143
-23.69,63.36,-8.64,-6.64,18.4,-11.3,2.010818,0.2504349,0.4277496
-23.69,63.36,-8.64,-6.64,18.4,-11.3,2.010818,0.2504349,0.4277496
-25.41,63.2,-19.69,-4.86,17.21,-11.67,2.253402,0.5148544,0.3747101
-25.41,63.2,-19.69,-4.86,17.21,-11.67,2.494026,0.6934052,0.2538376
-27.93,62.82,-23.77,-3.08,15.58,-11.48,2.70642,0.7700577,0.03349304
-27.93,62.82,-23.77,-3.08,15.58,-11.48,2.70642,0.7700577,0.03349304
-28.59,55.23,-22.59,0.22,12.49,-11.54,2.993345,0.8543549,-0.1530838
-28.8,50.13,-30.47,1.82,11.02,-11.35,3.496355,0.9635849,-0.1423264
-28.8,50.13,-30.47,1.82,11.02,-11.35,3.496355,0.9635849,-0.1423264
-28.8,50.13,-30.47,1.82,11.02,-11.35,4.112463,1.035454,0.03997803
-28.8,50.13,-30.47,1.82,11.02,-11.35,4.547359,1.207397,0.3236618
-28.03,43.35,-29.96,4.85,8.1,-11.26,4.600601,1.343735,0.5279541
-28.03,43.35,-29.96,4.85,8.1,-11.26,4.600601,1.343735,0.5279541
-27.56,30.15,-21.82,6.03,7.02,-11.13,4.437884,1.387505,0.57267
-27.39,24.35,-21.55,6.92,6.58,-11.27,4.346519,1.113556,0.5177307
-27.39,24.35,-21.55,6.92,6.58,-11.27,4.346519,1.113556,0.5177307
-27.39,24.35,-21.55,6.92,6.58,-11.27,4.660966,0.456192,0.4114685
-27.39,24.35,-21.55,6.92,6.58,-11.27,5.034907,0.07105255,0.423645
-28.4,20.94,-17.45,7.45,6.61,-10.95,5.181578,-0.02751923,0.4726486
-28.4,20.94,-17.45,7.45,6.61,-10.95,5.181578,-0.02751923,0.4726486
-29.38,18.83,-13.17,7.39,7.63,-11.09,5.171999,0.03470612,0.7999039
-30.26,20.58,-8.16,6.92,11.57,-13.15,4.764858,0.131813,1.061523
-30.26,20.58,-8.16,6.92,11.57,-13.15,4.159152,0.1968079,1.216545
-30.26,20.58,-8.16,6.92,11.57,-13.15,4.159152,0.1968079,1.216545
-30.26,20.58,-8.16,6.92,11.57,-13.15,3.517129,0.1649475,1.248672
-30.71,22.77,-6.05,4.46,16.49,-9.79,3.008506,0.04368591,1.175537
-30.71,22.77,-6.05,4.46,16.49,-9.79,3.008506,0.04368591,1.175537
-30.17,27.79,-8.24,2.15,24.67,-10.48,2.686953,-0.1787033,1.009666
-28.83,29.32,-6.63,-1.13,31.43,-7.5,2.496002,-0.4517212,0.8607101
-28.83,29.32,-6.63,-1.13,31.43,-7.5,2.496002,-0.4517212,0.8607101
